sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y (dps),Z_dps,move_type
43,1111011,195455.0,92.0,-64.0,996.0,-298.0,-451.0,-63.0,2.0,-1.2,0.7,U
50,332607,49874.0,-52.0,-940.0,137.0,237.0,-231.0,-363.0,5.6,9.3,-7.2,S
53,354583,54728.0,-44.0,-4.0,1006.0,-286.0,-433.0,-88.0,-0.8,-2.0,2.0,D
1,1364701,175691.0,47.0,9.0,973.0,-573.0,-93.0,-93.0,10.1,0.1,23.8,L
59,1509640,200496.0,-62.0,-967.0,-167.0,321.0,-208.0,-205.0,-3.5,1.0,3.0,U
13,1021934,139528.0,-55.0,-976.0,-9.0,255.0,-192.0,-262.0,-7.0,-3.1,-1.7,L
19,586523,93046.0,-220.0,120.0,1263.0,162.0,-136.0,-42.0,30.8,-10.9,2.8,W
11,375891,66715.0,-330.0,296.0,1404.0,163.0,-151.0,-43.0,64.2,-36.2,1.9,W
69,2143830,279778.0,-55.0,-1011.0,-24.0,279.0,-222.0,-292.0,1.4,-9.9,-2.5,D
74,646795,85942.0,288.0,-164.0,951.0,6.0,-447.0,13.0,1.3,-1.3,3.9,L
58,1782273,234578.0,-70.0,-953.0,-306.0,346.0,-207.0,-135.0,-3.9,-2.5,2.3,U
26,1839843,241778.0,-109.0,-917.0,-433.0,334.0,-172.0,-42.0,0.0,2.6,2.3,U
31,1845937,235853.0,88.0,-96.0,1003.0,-151.0,-474.0,-57.0,3.8,-3.4,3.6,R
51,22607,13222.0,223.0,34.0,1035.0,-246.0,-453.0,-76.0,5.9,-7.6,29.4,U
30,1204992,162409.0,-252.0,-1055.0,104.0,259.0,-199.0,-334.0,12.3,-46.8,-0.3,L
42,345560,62921.0,-93.0,328.0,1034.0,69.0,-93.0,-103.0,4.7,1.2,2.3,W
35,2311561,300746.0,9.0,-989.0,114.0,240.0,-253.0,-364.0,-2.7,-3.9,2.1,D
105,437031,74359.0,17.0,-484.0,861.0,198.0,-196.0,43.0,-65.4,23.0,9.5,W
12,219527,84005.0,140.0,-83.0,1017.0,-357.0,-418.0,-84.0,1.0,3.0,-7.2,R
18,308863,39561.0,72.0,-194.0,1081.0,-226.0,-447.0,-85.0,-0.7,-0.7,1.6,D
63,217791,46950.0,-86.0,79.0,999.0,133.0,-76.0,-66.0,1.1,-11.8,5.1,W
14,613072,133205.0,-71.0,-82.0,1060.0,-315.0,-394.0,-135.0,5.9,1.4,4.4,U
17,1781647,227816.0,220.0,-210.0,925.0,-357.0,-447.0,-42.0,-3.5,0.0,2.8,R
31,210119,34561.0,-207.0,-1084.0,290.0,154.0,-106.0,-357.0,-20.0,-53.2,28.6,S
66,378652,67059.0,-70.0,230.0,991.0,99.0,-117.0,-100.0,-0.8,-0.8,4.2,W
55,397333,50623.0,74.0,-132.0,1012.0,-246.0,-460.0,-64.0,-0.7,-0.2,2.1,D
54,987862,180061.0,-48.0,-91.0,894.0,-249.0,-433.0,-126.0,1.6,4.7,15.1,U
48,313407,47474.0,-190.0,-878.0,195.0,219.0,-180.0,-354.0,-35.4,30.1,-0.9,S
59,466702,63427.0,137.0,4.0,1009.0,-85.0,-466.0,-76.0,0.1,-1.2,3.3,L
30,433693,55167.0,2.0,-112.0,1019.0,-244.0,-459.0,-76.0,-0.9,-1.6,1.8,D
41,2410738,313146.0,-83.0,-1134.0,271.0,229.0,-240.0,-384.0,-12.6,1.5,2.8,D
15,2270609,295628.0,-102.0,-949.0,135.0,250.0,-219.0,-352.0,-1.6,-0.8,-0.1,D
5,432434,55011.0,-5.0,-134.0,1055.0,-226.0,-451.0,-76.0,13.5,3.9,-2.5,D
16,556762,81371.0,-19.0,-996.0,120.0,253.0,-225.0,-318.0,0.7,-3.2,0.4,R
13,2443378,317228.0,-123.0,-981.0,-56.0,306.0,-202.0,-276.0,-2.9,-3.2,-6.0,D
32,186442,43031.0,-198.0,-62.0,621.0,145.0,-99.0,-30.0,29.3,-14.0,21.0,W
75,276508,42861.0,-167.0,-1056.0,142.0,223.0,-160.0,-336.0,-15.0,-46.8,19.0,S
31,258958,40668.0,-132.0,-997.0,189.0,199.0,-172.0,-370.0,2.1,-5.2,0.8,S
7,1365002,175728.0,74.0,53.0,998.0,-582.0,-136.0,-94.0,2.0,10.8,19.3,L
12,450447,64605.0,-317.0,-1112.0,173.0,220.0,-187.0,-372.0,-48.4,17.4,23.0,S
21,215691,46687.0,-216.0,148.0,1043.0,186.0,-88.0,15.0,51.7,-19.1,9.0,W
67,346790,63078.0,-113.0,282.0,989.0,79.0,-84.0,-109.0,-2.7,12.5,-0.1,W
41,1905902,250034.0,-89.0,-943.0,-296.0,346.0,-174.0,-114.0,-2.5,2.5,2.8,U
17,816709,113871.0,-27.0,-1008.0,291.0,243.0,-271.0,-372.0,-17.8,-17.9,3.0,L
17,349764,55496.0,-1.0,-998.0,167.0,256.0,-199.0,-294.0,15.7,-2.0,5.6,R
29,851415,118209.0,-128.0,-999.0,-29.0,285.0,-274.0,-295.0,-2.5,-3.9,-3.0,L
42,428033,73234.0,16.0,131.0,1002.0,127.0,-132.0,-66.0,-0.2,-2.0,2.4,W
43,69807,20496.0,-78.0,-1030.0,129.0,249.0,-208.0,-288.0,-5.7,0.7,-6.1,R
38,316435,51328.0,45.0,-983.0,111.0,268.0,-190.0,-250.0,-0.1,-3.1,-6.8,R
30,1022804,139634.0,-26.0,-1018.0,109.0,264.0,-214.0,-286.0,-3.1,-7.2,10.7,L
37,100296,13486.0,15.0,-148.0,1022.0,-231.0,-444.0,-97.0,1.0,-0.8,2.1,D
83,656511,138636.0,-39.0,-122.0,951.0,-295.0,-424.0,-109.0,7.2,7.0,-0.2,U
57,317540,59421.0,-22.0,209.0,994.0,96.0,-106.0,-94.0,2.7,2.9,1.9,W
34,20670,10880.0,20.0,-1089.0,216.0,238.0,-174.0,-328.0,15.2,5.7,0.4,S
60,525780,70802.0,154.0,-42.0,992.0,-105.0,-469.0,-67.0,0.0,-0.1,1.8,L
69,863069,112978.0,162.0,-252.0,983.0,64.0,-400.0,-15.0,0.2,-0.2,3.0,L
40,316525,51340.0,-21.0,-1011.0,78.0,253.0,-193.0,-253.0,7.7,-7.5,6.7,R
5,576770,128667.0,-42.0,-294.0,869.0,-232.0,-414.0,-151.0,7.0,4.1,1.0,U
33,23186,3848.0,-35.0,-142.0,979.0,-226.0,-442.0,-100.0,-1.6,0.9,2.3,D
56,353247,52455.0,-61.0,-989.0,118.0,240.0,-198.0,-339.0,-2.9,5.8,1.7,S
1,1021333,139453.0,11.0,-1008.0,68.0,265.0,-213.0,-264.0,-2.3,0.5,0.2,L
64,1509911,200528.0,-86.0,-1002.0,-138.0,327.0,-207.0,-204.0,-2.1,1.1,-0.2,U
18,315590,59178.0,125.0,-344.0,1340.0,177.0,-184.0,-18.0,-32.4,-0.9,5.1,W
5,545631,124773.0,97.0,-225.0,911.0,-228.0,-432.0,-124.0,20.4,3.4,-7.9,U
