sr_no,HostTimestamp,X_mg,Y_mg,Z_mg,X_dps,Y_dps,Z_dps,move_type
65,1367880,29.0,100.0,987.0,1.0,-4.4,2.6,L
0,1136010,0.0,-1017.0,32.0,-9.7,17.5,-9.4,L
1,1136022,51.0,-1041.0,58.0,6.5,10.2,-7.1,L
2,1136083,8.0,-1012.0,76.0,-10.8,2.5,-8.0,L
3,1136142,-47.0,-1019.0,7.0,-25.2,-2.3,-21.0,L
4,1136172,137.0,-968.0,-31.0,-25.7,-0.7,-26.9,L
5,1136233,229.0,-1000.0,95.0,25.0,22.1,8.5,L
6,1136293,9.0,-987.0,63.0,20.5,13.0,8.6,L
7,1136322,70.0,-972.0,87.0,26.8,3.7,9.3,L
8,1136413,-61.0,-1007.0,59.0,15.7,4.4,3.4,L
9,1136446,16.0,-978.0,124.0,7.6,-9.6,3.3,L
10,1136473,21.0,-1004.0,170.0,13.6,8.1,-0.5,L
11,1136533,27.0,-970.0,66.0,5.6,0.4,9.3,L
12,1136593,33.0,-983.0,101.0,-0.1,-2.3,0.0,L
13,1136622,-68.0,-997.0,69.0,8.1,4.4,11.9,L
14,1136683,22.0,-1017.0,145.0,7.0,7.5,0.0,L
15,1136743,6.0,-992.0,92.0,-0.2,1.1,4.9,L
16,1136772,52.0,-1012.0,144.0,-0.2,1.1,4.9,L
17,1136833,8.0,-1011.0,131.0,2.6,-1.6,2.1,L
18,1136893,27.0,-964.0,111.0,-5.1,-6.5,7.6,L
19,1136923,-43.0,-977.0,100.0,0.4,0.1,6.0,L
20,1136983,-1.0,-913.0,35.0,4.1,-17.8,11.1,L
21,1137043,-131.0,-985.0,126.0,-26.1,5.1,-6.9,L
22,1137073,5.0,-964.0,34.0,20.0,-14.6,-5.5,L
23,1137133,86.0,-988.0,197.0,8.8,-1.5,-3.6,L
24,1137192,10.0,-1034.0,195.0,-6.4,-1.2,7.7,L
25,1137223,7.0,-1043.0,165.0,-6.7,8.8,4.2,L
26,1137283,-46.0,-1053.0,197.0,-15.5,4.4,6.1,L
27,1137343,13.0,-993.0,61.0,-22.8,4.7,2.2,L
28,1137373,-29.0,-1007.0,117.0,-17.9,0.1,5.1,L
29,1137433,44.0,-981.0,111.0,-10.8,5.6,2.9,L
30,1137493,-140.0,-1003.0,88.0,0.8,7.1,15.6,L
31,1137523,-32.0,-999.0,122.0,-0.4,-8.7,-3.0,L
32,1137583,-93.0,-987.0,52.0,-3.9,-5.3,0.6,L
33,1137643,6.0,-1001.0,109.0,4.6,-12.5,-8.6,L
34,1137672,-47.0,-999.0,102.0,-2.5,-9.6,0.9,L
35,1137732,22.0,-996.0,106.0,-1.4,-10.9,-3.2,L
36,1137793,-78.0,-984.0,75.0,-7.1,-7.0,10.5,L
37,1137823,-28.0,-998.0,116.0,0.6,5.6,7.8,L
38,1137883,-66.0,-1001.0,92.0,0.2,5.0,4.3,L
39,1137943,-46.0,-995.0,97.0,-4.0,4.1,1.6,L
40,1137973,-46.0,-994.0,131.0,0.9,0.2,-4.3,L
41,1138033,-7.0,-1001.0,139.0,-6.6,-5.4,4.0,L
42,1138093,-48.0,-1000.0,62.0,-6.6,-7.4,3.7,L
43,1138122,-20.0,-1007.0,145.0,0.4,-9.9,3.4,L
44,1138183,-59.0,-1002.0,86.0,-3.8,-11.2,-1.0,L
45,1138242,-38.0,-990.0,74.0,-5.6,-10.9,0.0,L
46,1138272,-61.0,-999.0,83.0,-2.5,-10.7,-4.7,L
47,1138333,-48.0,-984.0,76.0,-2.1,-15.8,-4.2,L
48,1138423,-75.0,-985.0,29.0,-6.0,-6.0,-0.4,L
49,1138424,-3.0,-986.0,134.0,-16.2,5.0,8.4,L
50,1138483,-29.0,-1006.0,71.0,3.2,-4.9,-5.5,L
51,1138543,-25.0,-1001.0,98.0,-1.4,-8.4,-1.9,L
52,1138572,-60.0,-1004.0,26.0,-4.0,1.1,1.1,L
53,1138633,-56.0,-1011.0,73.0,1.4,-10.3,-3.2,L
54,1138693,-50.0,-999.0,91.0,-0.9,-4.4,3.6,L
55,1138722,-57.0,-1016.0,68.0,-6.3,-7.0,2.8,L
56,1138783,-111.0,-1035.0,81.0,-0.1,-14.7,1.8,L
57,1138843,-37.0,-1006.0,81.0,-1.9,-10.6,-2.6,L
58,1138872,-70.0,-998.0,52.0,-1.9,-8.9,-3.0,L
59,1138932,-47.0,-992.0,58.0,0.7,-5.3,-2.8,L
60,1139013,-23.0,-1002.0,97.0,1.0,-6.4,-3.3,L
61,1139023,-5.0,-1001.0,99.0,0.2,-5.6,1.1,L
62,1139082,0.0,-984.0,73.0,-1.6,-7.2,1.1,L
63,1139142,-21.0,-997.0,117.0,0.5,-8.4,-0.8,L
64,1139172,-82.0,-1007.0,77.0,-0.6,-5.9,0.4,L
65,1139232,-65.0,-1004.0,100.0,1.7,-5.1,-3.9,L
66,1139293,-20.0,-990.0,90.0,-0.1,-1.8,-1.4,L
67,1139322,-28.0,-1009.0,112.0,0.5,-3.2,1.5,L
68,1139413,-13.0,-1003.0,99.0,-2.0,-0.1,2.1,L
69,1139442,-46.0,-1011.0,101.0,-0.6,-0.3,0.6,L
70,1139473,-27.0,-984.0,67.0,-2.6,1.2,-0.3,L
71,1139532,-11.0,-1008.0,116.0,0.2,3.2,1.4,L
72,1139592,-40.0,-1000.0,88.0,-1.6,2.0,1.6,L
73,1139625,-5.0,-1009.0,118.0,-0.4,2.4,-0.2,L
74,1139682,-23.0,-1003.0,108.0,0.7,0.5,-0.5,L
75,1139742,10.0,-997.0,113.0,0.7,0.5,-0.5,L
76,1139772,-30.0,-999.0,99.0,-3.3,1.3,0.7,L
77,1139833,-33.0,-991.0,82.0,-3.6,2.3,0.7,L
78,1139893,-10.0,-993.0,87.0,-3.5,2.5,0.2,L
79,1139922,-21.0,-990.0,83.0,-2.2,0.5,-0.5,L
80,1139982,-11.0,-1006.0,118.0,-2.3,2.4,-0.2,L
0,1405458,51.0,158.0,1044.0,14.4,-0.9,16.7,L
1,1405501,32.0,203.0,1095.0,14.4,-0.9,16.7,L
2,1405531,67.0,155.0,1066.0,9.0,-10.8,30.0,L
3,1405593,69.0,200.0,1010.0,18.8,-9.8,37.3,L
4,1405653,95.0,165.0,977.0,9.6,-13.4,41.8,L
5,1405785,95.0,165.0,977.0,9.6,-13.4,41.8,L
6,1405807,154.0,108.0,982.0,1.4,-14.3,47.6,L
7,1405821,232.0,26.0,932.0,-14.5,-22.7,40.3,L
8,1405925,292.0,3.0,861.0,23.4,-0.9,37.7,L
9,1405925,292.0,3.0,861.0,23.4,-0.9,37.7,L
10,1405955,308.0,70.0,926.0,11.4,-6.2,26.6,L
11,1405984,287.0,96.0,971.0,8.8,1.9,19.7,L
12,1406042,276.0,55.0,966.0,3.0,1.1,13.7,L
13,1406102,274.0,92.0,928.0,0.1,-0.6,7.7,L
14,1406131,242.0,96.0,930.0,2.3,7.3,4.4,L
15,1406192,235.0,119.0,954.0,-1.4,1.9,1.2,L
16,1406252,235.0,119.0,954.0,-1.4,1.9,1.2,L
17,1406281,222.0,144.0,991.0,-0.7,-2.5,1.3,L
18,1406342,218.0,139.0,1004.0,0.5,-2.1,3.3,L
19,1406402,218.0,124.0,992.0,1.2,-5.4,4.2,L
20,1406430,237.0,146.0,967.0,3.3,-0.3,2.7,L
21,1406492,239.0,111.0,947.0,1.3,0.9,2.1,L
22,1406553,242.0,130.0,956.0,1.2,-1.1,2.5,L
23,1406581,228.0,140.0,984.0,3.4,3.2,3.0,L
24,1406642,215.0,140.0,991.0,2.4,1.4,3.2,L
25,1406702,229.0,144.0,977.0,-1.2,-1.4,1.2,L
26,1406731,222.0,140.0,991.0,2.1,-0.3,2.8,L
27,1406792,229.0,132.0,975.0,0.5,-0.7,1.6,L
28,1406852,230.0,143.0,964.0,7.9,4.6,3.6,L
29,1406902,230.0,143.0,964.0,7.9,4.6,3.6,L
30,1406942,218.0,154.0,968.0,1.1,0.0,1.6,L
31,1407001,226.0,149.0,971.0,0.2,-0.9,2.8,L
32,1407031,231.0,144.0,973.0,0.4,0.0,1.6,L
33,1407092,238.0,143.0,960.0,0.9,0.4,2.2,L
34,1407152,238.0,143.0,960.0,-0.7,0.2,0.7,L
35,1407184,217.0,156.0,975.0,0.7,2.2,1.1,L
36,1407241,203.0,160.0,994.0,-0.2,0.4,1.6,L
37,1407302,205.0,152.0,978.0,0.6,1.0,2.1,L
38,1407331,218.0,159.0,960.0,-0.4,0.7,2.6,L
39,1407392,221.0,161.0,971.0,-0.4,-0.2,2.9,L
40,1407452,222.0,130.0,974.0,0.0,0.7,1.9,L
41,1407481,206.0,141.0,998.0,2.3,0.7,1.8,L
42,1407546,213.0,133.0,977.0,-0.4,-2.1,1.6,L
43,1407602,217.0,142.0,967.0,-0.3,-1.4,0.8,L
44,1407631,216.0,158.0,965.0,0.9,0.8,1.1,L
45,1407692,218.0,162.0,977.0,-2.9,-0.9,2.1,L
46,1407751,217.0,142.0,986.0,-0.2,0.0,2.5,L
47,1407783,214.0,142.0,987.0,0.9,0.1,1.9,L
48,1407842,220.0,134.0,979.0,-0.4,0.0,0.7,L
49,1407902,218.0,139.0,971.0,-0.5,0.0,0.4,L
50,1407931,217.0,145.0,967.0,-0.9,-0.2,0.2,L
51,1407992,218.0,143.0,962.0,-0.3,1.1,0.0,L
52,1408052,209.0,137.0,990.0,-0.3,1.1,0.0,L
53,1408081,212.0,134.0,983.0,-2.1,0.0,-0.8,L
54,1408142,221.0,138.0,955.0,-1.0,2.1,-1.4,L
55,1408203,214.0,108.0,957.0,8.2,4.9,2.3,L
56,1408231,219.0,140.0,951.0,8.1,5.7,-0.7,L
1,1165693,-5.0,-1005.0,2.0,5.7,14.9,-15.0,L
2,1165722,75.0,-989.0,-43.0,29.6,52.1,-13.6,L
3,1165783,137.0,-1064.0,194.0,4.0,30.5,-13.4,L
4,1165843,69.0,-975.0,-50.0,2.9,13.1,-1.6,L
5,1165872,193.0,-1021.0,150.0,25.1,13.7,9.2,L
6,1165933,-44.0,-1018.0,138.0,-3.2,2.3,27.8,L
7,1165993,-81.0,-959.0,115.0,6.9,-2.5,12.8,L
8,1166022,-94.0,-991.0,102.0,-0.2,-4.9,14.7,L
9,1166083,-118.0,-988.0,62.0,1.0,-8.6,5.3,L
10,1166143,2.0,-953.0,97.0,2.8,-10.2,-11.5,L
11,1166172,-95.0,-983.0,161.0,2.3,-8.6,-1.3,L
12,1166233,20.0,-958.0,136.0,-1.6,-5.1,-1.9,L
13,1166293,-34.0,-976.0,91.0,7.4,-11.3,-10.8,L
14,1166322,53.0,-972.0,139.0,-1.0,-20.9,-9.4,L
15,1166382,7.0,-981.0,132.0,4.3,-5.3,6.0,L
16,1166443,-125.0,-996.0,141.0,-2.0,-5.8,18.1,L
17,1166472,-63.0,-993.0,121.0,0.0,-10.6,-2.2,L
18,1166533,-48.0,-999.0,161.0,2.2,-10.2,-0.3,L
19,1166593,-98.0,-989.0,140.0,-11.9,5.7,-0.9,L
20,1166622,-7.0,-951.0,67.0,1.1,-0.1,-10.6,L
21,1166682,-75.0,-1009.0,174.0,1.2,-0.2,-12.3,L
22,1166772,-68.0,-1006.0,187.0,-7.2,-5.7,-11.0,L
23,1166802,-97.0,-1005.0,118.0,-1.8,-13.7,-17.2,L
24,1166838,1.0,-1002.0,148.0,-13.4,2.1,5.1,L
25,1166892,15.0,-1012.0,207.0,-13.4,-0.6,6.4,L
26,1166922,-20.0,-1011.0,107.0,-15.4,-8.8,10.6,L
27,1166982,75.0,-969.0,108.0,-9.5,-11.6,5.8,L
28,1167042,-22.0,-1008.0,76.0,-20.0,-7.6,18.0,L
29,1167079,2.0,-974.0,53.0,-8.9,-18.6,3.6,L
30,1167132,-109.0,-1020.0,84.0,0.2,-20.1,3.0,L
31,1167193,-96.0,-1044.0,81.0,-11.7,-11.7,-4.1,L
32,1167222,-142.0,-1007.0,-21.0,-10.7,0.7,-1.1,L
33,1167282,-160.0,-1008.0,6.0,-2.8,-0.9,-8.0,L
34,1167342,-76.0,-1004.0,49.0,-2.0,8.8,-11.9,L
35,1167372,-92.0,-1008.0,68.0,-3.6,2.1,-5.4,L
36,1167432,-52.0,-988.0,71.0,-9.6,6.3,1.0,L
37,1167492,-129.0,-999.0,4.0,-9.8,3.8,8.4,L
38,1167522,-83.0,-1014.0,93.0,0.0,-0.8,3.2,L
39,1167582,-45.0,-1016.0,84.0,-4.6,1.4,4.0,L
40,1167642,-61.0,-985.0,43.0,-3.9,0.1,3.4,L
41,1167672,-39.0,-998.0,32.0,-3.9,3.7,5.1,L
42,1167732,-51.0,-1006.0,47.0,-0.9,0.0,1.1,L
43,1167793,-36.0,-1009.0,69.0,-2.8,2.9,1.3,L
44,1167822,-20.0,-1001.0,60.0,-1.8,0.1,-0.1,L
45,1167882,-73.0,-996.0,28.0,-3.1,0.2,2.6,L
46,1167943,-21.0,-1005.0,62.0,-3.7,1.1,3.9,L
47,1167972,-41.0,-987.0,55.0,-2.4,-3.9,3.8,L
48,1168032,-22.0,-998.0,55.0,-3.9,-2.8,3.9,L
49,1168093,-70.0,-1014.0,67.0,0.3,-4.9,3.7,L
50,1168122,-68.0,-1006.0,30.0,-6.0,-6.7,3.0,L
0,1713796,150.0,-274.0,1044.0,-3.3,-5.9,-58.7,R
1,1713846,268.0,-303.0,1100.0,-19.5,2.3,-60.1,R
2,1713906,160.0,-236.0,1060.0,-37.5,10.0,-63.7,R
3,1713936,121.0,-254.0,899.0,-34.9,-16.2,-58.7,R
4,1713996,197.0,-121.0,928.0,-22.2,-24.9,-54.5,R
5,1714056,101.0,-67.0,868.0,-22.2,-24.9,-54.5,R
6,1714084,190.0,-24.0,919.0,-16.8,-14.4,-51.1,R
7,1714146,219.0,29.0,894.0,-8.4,-19.9,-43.1,R
8,1714206,384.0,71.0,898.0,-5.8,-15.2,-31.0,R
9,1714234,426.0,54.0,945.0,-14.6,6.8,-16.3,R
10,1714296,367.0,-8.0,944.0,-7.3,4.0,-1.8,R
11,1714356,366.0,-52.0,972.0,-5.1,0.8,8.8,R
12,1714384,311.0,-136.0,980.0,-1.4,-2.1,15.6,R
13,1714445,305.0,-153.0,991.0,0.1,-4.9,16.3,R
14,1714506,305.0,-153.0,991.0,-4.9,-4.2,14.9,R
15,1714534,287.0,-266.0,892.0,-8.3,3.0,15.6,R
16,1714597,246.0,-304.0,878.0,-3.5,-0.7,13.6,R
17,1714657,225.0,-289.0,898.0,5.1,-7.1,8.4,R
18,1714688,275.0,-262.0,932.0,7.2,-4.9,2.3,R
19,1714745,295.0,-255.0,937.0,5.1,-3.0,0.2,R
20,1714806,285.0,-235.0,955.0,2.8,-0.4,0.3,R
21,1714834,301.0,-203.0,966.0,1.7,-1.1,-1.8,R
22,1714896,308.0,-210.0,935.0,-1.2,0.5,-0.4,R
23,1714956,308.0,-208.0,937.0,1.6,-2.1,-0.2,R
24,1714986,309.0,-218.0,921.0,3.8,-3.7,-0.7,R
25,1715046,338.0,-201.0,926.0,5.7,-1.5,-4.4,R
26,1715106,349.0,-193.0,938.0,6.9,-3.5,-3.0,R
27,1715134,340.0,-188.0,949.0,4.0,-2.6,-0.1,R
28,1715196,331.0,-182.0,943.0,-0.4,0.8,2.5,R
29,1715373,312.0,-197.0,950.0,-1.6,1.2,4.2,R
30,1715373,312.0,-197.0,950.0,-1.6,1.2,4.2,R
31,1715373,312.0,-197.0,950.0,-1.6,1.2,4.2,R
32,1715482,329.0,-210.0,946.0,-0.8,-0.6,2.8,R
33,1715482,329.0,-210.0,946.0,-0.8,-0.6,2.8,R
34,1715497,337.0,-197.0,971.0,-1.7,1.2,2.4,R
35,1715556,300.0,-216.0,939.0,-3.5,0.4,2.8,R
36,1715585,308.0,-213.0,905.0,-3.3,1.1,1.8,R
37,1715646,293.0,-227.0,899.0,-2.4,3.9,3.2,R
38,1715706,287.0,-210.0,937.0,3.7,2.3,2.0,R
39,1715735,311.0,-204.0,954.0,5.5,1.5,1.8,R
40,1715856,311.0,-199.0,965.0,5.3,0.4,2.2,R
41,1715876,342.0,-192.0,968.0,2.3,1.8,3.3,R
42,1715888,290.0,-199.0,973.0,1.8,1.6,5.1,R
43,1715946,292.0,-199.0,962.0,-0.7,0.7,4.9,R
44,1716005,280.0,-228.0,940.0,-0.7,0.0,4.0,R
45,1716034,287.0,-215.0,947.0,1.5,-1.9,1.8,R
46,1716126,296.0,-195.0,966.0,0.7,-1.6,1.7,R
47,1716155,304.0,-195.0,943.0,-0.2,0.4,0.9,R
48,1716187,303.0,-210.0,931.0,-0.2,-0.8,2.1,R
49,1716246,301.0,-198.0,942.0,-0.9,0.0,3.0,R
50,1716306,299.0,-187.0,958.0,0.9,0.0,2.8,R
51,1716341,296.0,-195.0,953.0,0.7,0.4,2.3,R
52,1716396,297.0,-192.0,955.0,0.2,-2.0,4.6,R
53,1716456,296.0,-198.0,938.0,-2.1,0.6,5.1,R
54,1716484,298.0,-203.0,931.0,-0.2,-0.8,6.3,R
55,1716546,294.0,-197.0,942.0,1.3,-0.6,6.7,R
56,1716606,308.0,-205.0,955.0,2.4,-0.9,8.5,R
57,1716634,308.0,-185.0,979.0,0.5,-1.0,10.6,R
58,1716695,308.0,-176.0,945.0,-2.1,0.1,12.0,R
1,1756836,-88.0,-454.0,1040.0,0.2,-11.1,-33.7,R
2,1756897,13.0,-306.0,1059.0,3.7,-13.7,-45.8,R
3,1756955,84.0,-241.0,1035.0,-5.2,-7.7,-59.3,R
4,1756984,84.0,-241.0,1035.0,-10.5,-8.1,-50.9,R
5,1757045,76.0,-213.0,958.0,-12.3,-10.3,-46.2,R
6,1757106,156.0,-96.0,1027.0,-18.6,-21.2,-40.0,R
7,1757135,33.0,78.0,1036.0,-37.2,0.0,-48.2,R
8,1757196,99.0,-35.0,844.0,-35.9,-9.0,-47.2,R
9,1757256,243.0,96.0,908.0,-19.6,-13.2,-30.8,R
10,1757285,325.0,28.0,913.0,-17.4,2.1,-24.0,R
11,1757345,345.0,-10.0,974.0,-6.7,-1.9,-3.9,R
12,1757406,292.0,-112.0,965.0,-3.0,-0.9,10.4,R
13,1757435,191.0,-193.0,956.0,0.0,-0.6,13.3,R
14,1757495,170.0,-246.0,942.0,6.5,-7.4,13.8,R
15,1757556,192.0,-232.0,985.0,3.2,2.3,8.7,R
16,1757585,144.0,-270.0,979.0,2.9,1.3,4.6,R
17,1757645,214.0,-265.0,961.0,1.6,-3.1,4.6,R
18,1757708,197.0,-264.0,962.0,-0.7,0.2,2.7,R
19,1757739,198.0,-260.0,952.0,0.9,-1.4,-0.9,R
20,1757796,194.0,-233.0,967.0,0.7,0.5,-2.9,R
21,1757855,194.0,-233.0,967.0,0.7,-0.1,-2.7,R
22,1757885,204.0,-220.0,963.0,1.7,0.8,-2.1,R
23,1757945,215.0,-190.0,966.0,-0.2,2.3,-0.2,R
24,1758006,195.0,-233.0,926.0,-0.9,2.7,0.7,R
25,1758035,203.0,-211.0,952.0,1.6,2.0,1.1,R
26,1758125,219.0,-236.0,960.0,2.0,2.8,-0.2,R
27,1758155,207.0,-221.0,985.0,3.9,1.7,-1.4,R
28,1758185,218.0,-214.0,982.0,2.9,0.5,-1.4,R
29,1758246,211.0,-191.0,1000.0,1.1,0.6,1.7,R
30,1758307,199.0,-194.0,973.0,-0.5,-0.9,4.0,R
31,1758335,208.0,-225.0,944.0,-1.7,1.6,2.9,R
32,1758396,179.0,-223.0,961.0,0.0,1.7,4.2,R
33,1758456,179.0,-223.0,961.0,0.7,0.9,2.7,R
34,1758486,203.0,-225.0,971.0,0.8,-0.2,1.4,R
35,1758546,204.0,-218.0,981.0,0.4,-0.2,2.8,R
36,1758607,201.0,-236.0,967.0,-0.4,0.7,1.8,R
37,1758635,210.0,-213.0,977.0,0.0,1.0,3.2,R
38,1758696,170.0,-219.0,956.0,0.3,2.1,3.1,R
39,1758756,167.0,-214.0,960.0,5.4,-0.2,1.8,R
40,1758846,211.0,-197.0,982.0,6.5,-1.0,2.0,R
41,1758847,198.0,-204.0,967.0,3.7,3.4,2.9,R
42,1758936,192.0,-212.0,991.0,1.4,5.1,3.7,R
43,1758958,200.0,-222.0,981.0,0.4,4.7,3.4,R
44,1758995,174.0,-211.0,994.0,0.0,4.4,3.5,R
45,1759055,159.0,-235.0,987.0,-0.1,4.5,1.4,R
46,1759092,149.0,-213.0,1000.0,0.0,0.2,0.5,R
47,1759145,153.0,-208.0,991.0,-0.2,-0.6,1.1,R
48,1759205,153.0,-208.0,991.0,-0.6,-0.2,-0.4,R
49,1759235,175.0,-210.0,978.0,-0.2,-1.0,1.1,R
50,1759296,155.0,-207.0,973.0,-1.3,1.1,1.1,R
51,1759386,170.0,-200.0,983.0,1.1,-0.5,2.3,R
52,1759405,164.0,-191.0,975.0,0.0,0.2,1.5,R
53,1759445,170.0,-194.0,962.0,1.4,0.0,3.3,R
54,1759506,183.0,-194.0,973.0,2.0,1.8,3.9,R
55,1759535,176.0,-175.0,982.0,4.3,2.5,4.3,R
56,1759596,154.0,-191.0,954.0,3.0,0.8,7.4,R
57,1759656,196.0,-140.0,962.0,7.9,0.1,9.0,R
58,1759685,149.0,-172.0,928.0,15.5,1.6,12.2,R
1,67707,-57.0,-1014.0,55.0,-1.3,-2.1,0.8,R
2,67737,-66.0,-1020.0,69.0,0.5,-0.9,-0.2,R
3,67797,-81.0,-1030.0,33.0,-4.9,-8.5,-2.5,R
4,67857,-92.0,-1040.0,62.0,-4.9,-7.5,-5.9,R
5,67887,-92.0,-1004.0,55.0,-4.8,-5.9,-4.4,R
6,67947,-135.0,-1004.0,-6.0,-7.8,3.2,4.1,R
7,68007,-119.0,-1005.0,24.0,3.6,1.4,-2.4,R
8,68038,-95.0,-984.0,15.0,7.0,2.6,0.6,R
9,68097,-100.0,-982.0,39.0,11.6,5.2,10.0,R
10,68157,-57.0,-983.0,43.0,5.4,6.5,10.5,R
11,68187,-95.0,-995.0,68.0,5.1,6.0,5.5,R
12,68247,-122.0,-1005.0,69.0,-0.3,17.5,5.8,R
13,68307,-129.0,-1002.0,95.0,0.7,13.0,-7.0,R
14,68337,-108.0,-997.0,69.0,0.7,13.0,-7.0,R
15,68427,-70.0,-970.0,0.0,-11.5,12.8,-15.1,R
16,68461,-70.0,-970.0,0.0,-11.5,12.8,-15.1,R
17,68487,4.0,-987.0,-7.0,-13.0,15.3,-7.4,R
18,68547,-54.0,-1008.0,54.0,-5.3,24.8,0.4,R
19,68607,93.0,-948.0,63.0,4.8,9.9,3.0,R
20,68637,-97.0,-980.0,4.0,0.8,22.7,16.8,R
21,68697,-77.0,-995.0,80.0,9.4,12.3,5.8,R
22,68757,-61.0,-998.0,119.0,0.2,1.2,2.1,R
23,68787,-30.0,-989.0,77.0,1.1,20.3,7.3,R
24,68847,65.0,-987.0,48.0,-1.8,11.1,3.7,R
25,68908,-22.0,-975.0,71.0,-0.1,4.1,14.4,R
26,68938,-51.0,-994.0,14.0,6.5,-1.1,15.1,R
27,68997,-52.0,-1021.0,160.0,13.3,4.4,18.8,R
28,69057,-84.0,-991.0,62.0,-0.9,-6.3,-1.5,R
29,69087,-58.0,-1007.0,113.0,-1.5,-9.6,2.2,R
30,69147,6.0,-981.0,62.0,-5.1,-4.4,8.3,R
31,69208,-193.0,-1012.0,124.0,-13.1,-9.1,13.8,R
32,69237,-52.0,-961.0,27.0,-5.6,-8.6,-7.9,R
33,69297,-200.0,-975.0,-4.0,-21.2,-43.3,-4.9,R
34,69357,-76.0,-965.0,42.0,0.4,-42.4,0.1,R
35,69387,-113.0,-976.0,94.0,7.1,-44.4,-7.5,R
36,69447,-85.0,-1025.0,153.0,7.4,8.3,-4.6,R
37,69507,82.0,-989.0,96.0,-8.8,-10.2,-14.9,R
38,69537,-28.0,-1011.0,84.0,3.4,-0.9,3.5,R
39,69597,140.0,-985.0,63.0,1.7,-0.3,-3.9,R
40,69657,25.0,-1000.0,49.0,2.3,10.7,10.9,R
41,69687,-39.0,-1018.0,72.0,-1.2,4.4,-2.7,R
42,69747,-108.0,-1041.0,162.0,-0.2,6.4,0.1,R
43,69807,-78.0,-1030.0,129.0,-5.7,0.7,-6.1,R
44,69837,-61.0,-1007.0,93.0,-6.6,2.3,8.2,R
45,69897,-108.0,-989.0,65.0,-6.7,-2.0,6.0,R
46,69957,-151.0,-991.0,106.0,-1.7,0.8,0.5,R
47,69987,-58.0,-970.0,63.0,-5.8,1.9,-1.0,R
48,70047,-30.0,-1001.0,135.0,-1.0,4.9,-3.0,R
49,70106,-39.0,-999.0,83.0,-5.9,2.5,5.8,R
50,70137,-98.0,-1006.0,87.0,-8.4,0.8,6.0,R
51,70197,-91.0,-1015.0,93.0,-3.2,-0.9,6.3,R
52,70257,-110.0,-1009.0,94.0,-2.1,-3.0,-1.2,R
53,70287,-113.0,-997.0,85.0,-4.9,-5.8,-0.1,R
54,70347,-117.0,-983.0,90.0,-4.8,-1.9,1.6,R
55,70408,-98.0,-974.0,90.0,-2.6,3.6,-0.5,R
56,70437,-109.0,-984.0,121.0,-1.4,5.8,-0.7,R
57,70497,-87.0,-979.0,61.0,-2.6,1.6,-1.6,R
58,70557,-104.0,-1000.0,89.0,0.0,5.3,2.0,R
59,70587,-97.0,-1013.0,94.0,-2.8,0.5,-2.1,R
60,70647,-94.0,-1012.0,94.0,-4.0,-1.7,-2.4,R
61,70706,-91.0,-1009.0,80.0,-4.6,-0.3,-3.2,R
62,70737,-99.0,-1011.0,91.0,-2.8,1.1,-3.7,R
63,70797,-25.0,-991.0,85.0,-4.4,4.4,1.3,R
64,70857,-104.0,-988.0,84.0,-3.7,2.2,2.7,R
65,70886,-82.0,-983.0,91.0,-2.3,-1.6,1.2,R
66,70947,-43.0,-984.0,81.0,-4.2,-1.1,-5.3,R
67,71007,-81.0,-991.0,83.0,-3.9,4.5,0.4,R
68,71037,-85.0,-998.0,109.0,-2.3,3.8,-3.4,R
69,71097,-69.0,-998.0,60.0,-1.9,4.4,-2.1,R
70,71157,-55.0,-1005.0,79.0,-2.7,2.2,-6.5,R
1,1780836,185.0,-73.0,959.0,-19.3,-31.2,-48.0,R
2,1780897,224.0,-91.0,928.0,-35.5,-15.1,-47.6,R
3,1780925,165.0,-74.0,897.0,-22.0,-11.2,-39.9,R
4,1780986,137.0,-70.0,870.0,-19.3,-19.5,-33.7,R
5,1781046,211.0,-20.0,880.0,-15.8,-11.8,-39.9,R
6,1781075,232.0,25.0,886.0,-17.0,-8.0,-32.6,R
7,1781136,292.0,38.0,902.0,-14.0,-3.7,-22.9,R
8,1781197,384.0,64.0,973.0,-8.8,4.4,-15.1,R
9,1781225,356.0,5.0,977.0,-8.0,8.2,-2.3,R
10,1781286,323.0,-58.0,979.0,-4.2,5.9,7.2,R
11,1781377,303.0,-123.0,961.0,0.9,0.3,11.4,R
12,1781398,275.0,-160.0,980.0,0.3,0.9,12.5,R
13,1781436,244.0,-174.0,1004.0,2.1,-0.9,10.2,R
14,1781527,242.0,-186.0,973.0,-3.2,-0.7,7.8,R
15,1781528,242.0,-186.0,973.0,-2.9,-3.3,6.6,R
16,1781587,246.0,-181.0,948.0,-4.1,0.0,5.2,R
17,1781647,220.0,-210.0,925.0,-3.5,0.0,2.8,R
18,1781675,233.0,-187.0,928.0,0.6,-0.4,0.6,R
19,1781737,255.0,-149.0,967.0,6.0,-5.0,0.5,R
20,1781797,282.0,-149.0,954.0,3.7,0.9,-0.2,R
21,1781826,268.0,-167.0,953.0,0.9,3.2,0.4,R
22,1781917,272.0,-176.0,942.0,0.4,0.2,3.8,R
23,1781945,271.0,-168.0,945.0,0.0,2.1,4.6,R
24,1781976,265.0,-183.0,951.0,-1.1,5.2,3.9,R
25,1782037,247.0,-184.0,973.0,0.7,4.3,2.1,R
