sr_no,HostTimestamp,X_mg,Y_mg,Z_mg,X_dps,Y_dps,Z_dps,move_type
33,1996352,13.0,-993.0,5.0,-19.2,13.4,10.1,D
34,1996382,27.0,-1004.0,13.0,0.2,-14.0,-12.1,D
35,1996442,41.0,-1037.0,73.0,-9.1,1.8,2.3,D
36,1996502,67.0,-1024.0,3.0,-13.5,-1.5,0.2,D
37,1996532,95.0,-1008.0,89.0,-14.4,14.4,16.9,D
38,1996592,-42.0,-1033.0,-21.0,-15.4,7.9,17.2,D
39,1996652,22.0,-1022.0,46.0,-4.6,3.9,3.7,D
40,1996682,-28.0,-990.0,-38.0,-18.7,6.8,5.1,D
41,1996742,38.0,-993.0,53.0,-8.0,8.6,7.7,D
42,1996802,-12.0,-989.0,-22.0,-10.4,4.1,4.4,D
43,1996831,11.0,-958.0,-15.0,-5.1,2.6,7.4,D
44,1996892,-61.0,-985.0,-16.0,0.2,8.4,15.2,D
45,1996952,-3.0,-1000.0,13.0,15.4,2.4,-4.0,D
46,1996982,15.0,-1059.0,36.0,-2.3,-2.2,-2.3,D
47,1997041,-26.0,-1029.0,-70.0,-11.7,0.2,10.4,D
48,1997107,10.0,-1013.0,-29.0,15.4,-6.0,-8.0,D
49,1997135,-10.0,-1100.0,68.0,-6.3,-4.2,1.8,D
50,1997191,-74.0,-1099.0,-54.0,-11.4,-4.9,-0.3,D
51,1997251,71.0,-1014.0,13.0,-7.3,2.8,-3.5,D
52,1997281,16.0,-995.0,-26.0,-8.7,-1.7,-1.9,D
53,1997342,-17.0,-974.0,-72.0,-6.2,-2.5,4.2,D
54,1997401,-54.0,-1028.0,-40.0,-0.4,-1.7,6.5,D
55,1997431,29.0,-998.0,-22.0,-2.4,2.3,-0.7,D
56,1997492,-6.0,-1030.0,25.0,-0.7,1.4,1.2,D
57,1997551,-16.0,-995.0,-22.0,-3.8,0.9,-0.5,D
58,1997581,-23.0,-1004.0,-13.0,-6.3,1.3,4.8,D
59,1997643,-57.0,-985.0,-64.0,-3.9,-1.4,-0.7,D
60,1997701,-57.0,-985.0,-64.0,1.8,0.4,-1.2,D
61,1997741,-7.0,-1018.0,-12.0,-3.9,3.0,1.8,D
62,1997791,-30.0,-998.0,-32.0,-2.0,2.3,3.2,D
63,1997851,-28.0,-1001.0,-26.0,-1.7,1.4,0.6,D
64,1997881,-7.0,-1003.0,-20.0,-1.4,2.1,2.8,D
65,1997942,-68.0,-1016.0,-56.0,1.3,0.1,0.8,D
66,1998002,-67.0,-1020.0,-40.0,-0.8,5.6,2.1,D
67,1998031,-38.0,-1006.0,-40.0,-2.1,3.0,1.8,D
68,1998092,-24.0,-990.0,-6.0,0.0,4.2,-0.9,D
1,186223,-156.0,114.0,1106.0,-31.5,0.6,8.8,D
2,186251,-234.0,20.0,937.0,-35.1,-1.6,18.5,D
3,186312,-270.0,-35.0,967.0,-21.8,3.0,14.7,D
4,186372,-301.0,-67.0,940.0,-11.2,-18.6,5.1,D
5,186401,-236.0,-70.0,841.0,-4.6,-3.9,-0.1,D
