sr_no,HostTimestamp,NodeTimestamp,X_mGa,Y_mGa,Z_mGa,X_mg,Y_mg,Z_mg,X_dps,Y (dps),Z_dps,move_type
0,2400688,311890.0,-430.0,-445.0,-484.0,-33.0,9.0,1011.0,-2.1,0.1,0.3,D
1,2400748,311896.0,-427.0,-445.0,-478.0,-34.0,8.0,1010.0,-2.1,0.2,0.4,D
2,2400808,311903.0,-433.0,-448.0,-471.0,-32.0,6.0,1010.0,-2.1,0.1,0.4,D
3,2400838,311909.0,-432.0,-442.0,-480.0,-34.0,7.0,1010.0,-2.2,0.2,0.4,D
4,2400898,311915.0,-426.0,-447.0,-474.0,-33.0,6.0,1010.0,-2.1,0.2,0.3,D
5,2400958,311921.0,-427.0,-447.0,-478.0,-32.0,6.0,1009.0,-2.1,0.2,0.4,D
6,2400988,311928.0,-433.0,-429.0,-480.0,-33.0,6.0,1010.0,-2.1,0.1,0.3,D
7,2401049,311934.0,-436.0,-444.0,-477.0,-33.0,6.0,1014.0,-2.2,0.2,0.4,D
8,2401108,311940.0,-433.0,-444.0,-472.0,-33.0,6.0,1011.0,-2.1,0.1,0.4,D
9,2401138,311946.0,-435.0,-448.0,-481.0,-34.0,8.0,1005.0,-2.1,0.2,0.3,D
10,2401198,311953.0,-430.0,-447.0,-474.0,-32.0,6.0,1005.0,-2.1,0.2,0.4,D
11,2401266,311959.0,-427.0,-444.0,-481.0,-33.0,7.0,1008.0,-2.1,0.2,0.4,D
12,2401288,311965.0,-432.0,-444.0,-481.0,-33.0,6.0,1007.0,-2.1,0.2,0.4,D
13,2401348,311971.0,-430.0,-441.0,-477.0,-33.0,6.0,1009.0,-2.1,0.2,0.3,D
14,2401408,311978.0,-429.0,-450.0,-471.0,-32.0,6.0,1011.0,-2.2,0.1,0.4,D
15,2401438,311984.0,-430.0,-448.0,-480.0,-32.0,6.0,1010.0,-2.1,0.1,0.3,D
16,2401499,311990.0,-427.0,-442.0,-471.0,-31.0,7.0,1010.0,-2.1,0.1,0.4,D
17,2401558,311996.0,-436.0,-442.0,-477.0,-33.0,5.0,1012.0,-2.1,0.2,0.3,D
18,2401588,312003.0,-438.0,-442.0,-469.0,-32.0,6.0,1012.0,-2.1,0.1,0.4,D
19,2401649,312009.0,-429.0,-444.0,-474.0,-32.0,6.0,1013.0,-2.2,0.1,0.3,D
20,2409689,313015.0,-429.0,-444.0,-474.0,-25.0,-651.0,-18.0,-7.6,-1.0,14.8,D
21,2409748,313021.0,321.0,-187.0,-237.0,-30.0,-722.0,-35.0,-4.2,-4.1,10.9,D
22,2409809,313028.0,315.0,-193.0,-237.0,-11.0,-901.0,47.0,3.4,-25.2,-0.9,D
23,2409838,313034.0,316.0,-198.0,-243.0,-90.0,-960.0,-184.0,-9.3,-21.7,5.8,D
24,2409898,313040.0,312.0,-207.0,-247.0,-112.0,-1019.0,-127.0,4.4,4.2,6.6,D
25,2409958,313046.0,309.0,-208.0,-256.0,37.0,-986.0,-126.0,14.8,-4.0,7.6,D
26,2409988,313053.0,313.0,-210.0,-264.0,-95.0,-908.0,-117.0,28.0,-16.5,-9.1,D
27,2410049,313059.0,298.0,-204.0,-282.0,-60.0,-939.0,-17.0,36.1,-5.3,-3.9,D
28,2410108,313065.0,289.0,-216.0,-300.0,-52.0,-969.0,75.0,38.1,-11.6,-19.8,D
29,2410138,313071.0,279.0,-217.0,-315.0,-80.0,-975.0,8.0,32.9,-0.4,-1.6,D
30,2410199,313078.0,264.0,-222.0,-324.0,-80.0,-975.0,8.0,29.2,-16.8,-33.0,D
31,2410258,313084.0,262.0,-235.0,-333.0,-129.0,-1205.0,202.0,35.2,-2.0,-24.6,D
32,2410288,313090.0,259.0,-235.0,-361.0,49.0,-1217.0,113.0,15.0,4.2,-19.1,D
33,2410348,313096.0,255.0,-238.0,-355.0,-15.0,-1212.0,87.0,5.6,9.4,-3.5,D
34,2410408,313103.0,246.0,-249.0,-354.0,223.0,-1129.0,-8.0,-39.9,1.2,-44.3,D
35,2410438,313109.0,240.0,-247.0,-367.0,30.0,-1088.0,47.0,8.5,-2.3,13.0,D
36,2410498,313115.0,250.0,-253.0,-370.0,128.0,-1032.0,31.0,21.2,-1.1,-9.8,D
37,2410558,313121.0,232.0,-243.0,-373.0,10.0,-1087.0,148.0,14.0,-1.9,3.5,D
38,2410588,313128.0,237.0,-240.0,-382.0,38.0,-1080.0,234.0,2.3,7.0,12.6,D
39,2410648,313134.0,234.0,-240.0,-391.0,-4.0,-989.0,112.0,-2.0,1.3,4.3,D
40,2410708,313140.0,235.0,-243.0,-376.0,102.0,-1043.0,233.0,-10.7,-0.1,-2.6,D
41,2410738,313146.0,229.0,-240.0,-384.0,-83.0,-1134.0,271.0,-12.6,1.5,2.8,D
42,2410798,313153.0,246.0,-243.0,-372.0,-23.0,-986.0,177.0,-19.4,1.5,4.3,D
43,2410858,313159.0,247.0,-237.0,-366.0,-14.0,-964.0,151.0,-18.0,-1.1,1.9,D
44,2410888,313165.0,255.0,-240.0,-357.0,-50.0,-1012.0,104.0,-20.0,-1.5,-0.6,D
45,2410949,313171.0,255.0,-247.0,-354.0,4.0,-983.0,83.0,-6.3,-0.1,-7.6,D
46,2411008,313178.0,258.0,-241.0,-361.0,25.0,-991.0,83.0,-4.4,2.5,-7.1,D
47,2411038,313184.0,259.0,-243.0,-354.0,67.0,-998.0,107.0,-1.6,0.9,-1.3,D
48,2411098,313190.0,252.0,-238.0,-355.0,-10.0,-1001.0,93.0,-4.9,1.6,2.9,D
49,2411158,313196.0,262.0,-243.0,-346.0,12.0,-999.0,101.0,2.8,2.6,-8.8,D
50,2411188,313203.0,249.0,-250.0,-360.0,85.0,-988.0,134.0,-2.9,2.3,-2.1,D
51,2411248,313209.0,258.0,-253.0,-354.0,48.0,-997.0,147.0,-6.5,2.3,5.0,D
52,2411308,313215.0,253.0,-241.0,-364.0,16.0,-992.0,105.0,-3.5,-1.6,-5.1,D
53,2411339,313221.0,255.0,-253.0,-351.0,39.0,-981.0,82.0,-0.5,-0.2,-7.2,D
54,2411398,313228.0,261.0,-253.0,-357.0,78.0,-999.0,104.0,0.3,0.1,-1.6,D
55,2411458,313234.0,255.0,-252.0,-349.0,58.0,-1000.0,105.0,0.2,1.1,4.1,D
56,2411488,313240.0,247.0,-246.0,-352.0,16.0,-987.0,59.0,6.8,-0.4,0.9,D
57,2411548,313246.0,250.0,-256.0,-360.0,66.0,-991.0,83.0,28.0,-3.5,-5.0,D
58,2411608,313253.0,244.0,-250.0,-381.0,91.0,-1030.0,96.0,37.8,-1.2,11.8,D
1,335142,42848.0,-211.0,-469.0,-61.0,158.0,-250.0,1032.0,-1.6,8.1,8.4,D
2,335204,42855.0,-198.0,-468.0,-58.0,96.0,-259.0,976.0,-4.8,-7.9,16.4,D
3,335319,42861.0,-195.0,-480.0,-52.0,95.0,-259.0,984.0,0.2,-1.1,7.2,D
4,335320,42867.0,-190.0,-471.0,-55.0,137.0,-239.0,964.0,0.2,-1.1,7.2,D
5,335450,42873.0,-195.0,-475.0,-55.0,137.0,-239.0,964.0,1.5,7.0,2.8,D
6,335450,42880.0,-193.0,-471.0,-57.0,137.0,-239.0,964.0,1.5,7.0,2.8,D
7,335452,42886.0,-198.0,-471.0,-52.0,149.0,-242.0,946.0,6.0,4.6,6.1,D
8,335504,42892.0,-202.0,-465.0,-60.0,78.0,-258.0,1043.0,2.6,1.2,4.4,D
9,335564,42898.0,-192.0,-466.0,-61.0,97.0,-249.0,1005.0,-1.1,0.7,1.7,D
10,335592,42905.0,-196.0,-466.0,-67.0,131.0,-241.0,980.0,0.2,-1.1,0.6,D
11,335654,42911.0,-198.0,-460.0,-67.0,111.0,-247.0,973.0,0.9,-0.8,1.3,D
12,335713,42917.0,-192.0,-468.0,-66.0,89.0,-245.0,982.0,-0.2,-0.4,1.6,D
